questionId,subject,unit,subunit,difficulty,mode,question,answer,choices,explanation,status,answerGroup,relatedQuestionIds,tags,imagePath
bio_growth_004,biology,生物の成長と生殖,体細胞分裂,1,choice,からだをつくる細胞の細胞分裂を何というか。,体細胞分裂,体細胞分裂|受精|発生|生殖,からだをつくる細胞の細胞分裂を体細胞分裂といいます。,active,,,中3|生物の成長と生殖,
bio_growth_005,biology,生物の成長と生殖,体細胞分裂,1,choice,体細胞分裂の前に、染色体はどうなるか。,複製されて数が2倍になる,複製されて数が2倍になる|半分になる|なくなる|変化しない,体細胞分裂の前に染色体は複製され、数が2倍になります。,active,,,中3|生物の成長と生殖,
bio_growth_006,biology,生物の成長と生殖,体細胞分裂,1,choice,体細胞分裂では、複製されて数が2倍になった染色体はどうなるか。,2等分されて別々の細胞に入る,2等分されて別々の細胞に入る|すべて一方の細胞に入る|なくなる|さらに2倍になる,複製された染色体は2等分され、別々の細胞に入ります。,active,,,中3|生物の成長と生殖,
bio_growth_007,biology,生物の成長と生殖,体細胞分裂,1,choice,体細胞分裂の前後で、1個の細胞に含まれる染色体の数はどうなるか。,変わらない,変わらない|2倍になる|半分になる|0になる,染色体は分裂前に複製され、その後2つの細胞に等しく分けられるため、分裂の前後で染色体数は変わりません。,active,,,中3|生物の成長と生殖,
bio_growth_008,biology,生物の成長と生殖,体細胞分裂,2,choice,体細胞分裂の前に染色体が複製されるのはなぜか。,分裂後の2つの細胞に同じ数の染色体を分けるため,分裂後の2つの細胞に同じ数の染色体を分けるため|染色体を半分にするため|染色体をなくすため|受精卵をつくるため,染色体を複製した後、それぞれの細胞に等しく分けます。,active,,,中3|生物の成長と生殖,
bio_growth_009,biology,生物の成長と生殖,植物の細胞分裂,1,choice,植物の細胞分裂で、染色体が中央に集まった後に起こることはどれか。,2本ずつの染色体がそれぞれ両端に移動する,2本ずつの染色体がそれぞれ両端に移動する|染色体がすべて消える|受精が起こる|細胞が1つに戻る,中央に集まった染色体は、それぞれ細胞の両端に移動します。,active,,,中3|生物の成長と生殖,
bio_growth_010,biology,生物の成長と生殖,植物の細胞分裂,1,choice,植物の細胞分裂で、染色体が両端に移動した後はどうなるか。,2個の核ができる,2個の核ができる|染色体が中央に戻る|受精卵ができる|1個の核だけが残る,染色体が両端に移動すると、それぞれの周囲に核ができ、2個の核になります。,active,,,中3|生物の成長と生殖,
bio_growth_011,biology,生物の成長と生殖,植物の細胞分裂,1,choice,植物の細胞分裂の最後には、細胞質がどうなって2個の細胞ができるか。,2つに分かれる,2つに分かれる|1つにまとまる|なくなる|4つに分かれる,細胞質が2つに分かれ、2個の細胞ができます。,active,,,中3|生物の成長と生殖,
bio_growth_012,biology,生物の成長と生殖,生物の成長,1,choice,生物は、細胞分裂によって細胞の数が増え、増えた細胞がどうなることで成長するか。,大きくなる,大きくなる|小さくなる|消える|融合する,細胞分裂によって細胞数が増え、増えた細胞が大きくなることで生物は成長します。,active,,,中3|生物の成長と生殖,
bio_growth_013,biology,生物の成長と生殖,生物の成長,2,choice,生物が成長するときの細胞の変化として正しいものはどれか。,細胞分裂で数が増え、増えた細胞が大きくなる,細胞分裂で数が増え、増えた細胞が大きくなる|細胞の数は変わらず大きさだけが増える|細胞数だけが増えて大きさは変わらない|細胞どうしがすべて融合する,生物は、細胞分裂で細胞数が増え、増えた細胞が大きくなることで成長します。,active,,,中3|生物の成長と生殖,
bio_growth_014,biology,生物の成長と生殖,植物の成長,1,choice,根の先端付近にあり、細胞分裂が盛んに行われる部分を何というか。,成長点,成長点|根冠|胚珠|子房,成長点では細胞分裂が盛んに行われます。,active,,,中3|生物の成長と生殖,
bio_growth_015,biology,生物の成長と生殖,植物の成長,1,choice,根の成長点を保護する部分を何というか。,根冠,根冠|成長点|胚珠|子房,根の先端にある根冠は、根の成長点を保護します。,active,,,中3|生物の成長と生殖,
bio_growth_016,biology,生物の成長と生殖,植物の成長,2,choice,根が成長するしくみとして正しいものはどれか。,成長点で細胞が分裂し、分裂した細胞が大きくなる,成長点で細胞が分裂し、分裂した細胞が大きくなる|根冠だけが細胞分裂する|すべての細胞が分裂せずに大きくなる|受精によって根が伸びる,成長点で細胞が分裂し、その後、分裂した細胞が大きくなることで根が成長します。,active,,,中3|生物の成長と生殖,
bio_growth_017,biology,生物の成長と生殖,生殖,1,choice,生物が新しい個体（子）をつくることを何というか。,生殖,生殖|成長|発生|受精,生物が新しい個体をつくることを生殖といいます。,active,,,中3|生物の成長と生殖,
bio_growth_018,biology,生物の成長と生殖,無性生殖,1,choice,受精を行わず、体細胞分裂によってふえる生殖を何というか。,無性生殖,無性生殖|有性生殖|受精|発生,受精を行わずにふえる生殖を無性生殖といいます。,active,,,中3|生物の成長と生殖,
bio_growth_019,biology,生物の成長と生殖,無性生殖,1,choice,からだが2つに分かれて新しい個体をつくる無性生殖を何というか。,分裂,分裂|栄養生殖|受精|発生,からだが2つに分かれて新しい個体をつくる方法を分裂といいます。,active,,,中3|生物の成長と生殖,
bio_growth_020,biology,生物の成長と生殖,無性生殖,1,choice,ミカヅキモが、からだを2つに分けて新しい個体をつくる方法を何というか。,分裂,分裂|栄養生殖|有性生殖|受精,ミカヅキモは分裂によってふえます。,active,,,中3|生物の成長と生殖,
bio_growth_021,biology,生物の成長と生殖,無性生殖,1,choice,ゾウリムシが、からだを2つに分けて新しい個体をつくる方法を何というか。,分裂,分裂|栄養生殖|有性生殖|受精,ゾウリムシは分裂によってふえます。,active,,,中3|生物の成長と生殖,
bio_growth_022,biology,生物の成長と生殖,無性生殖,1,choice,植物が、からだの一部から新しい個体をつくる無性生殖を何というか。,栄養生殖,栄養生殖|分裂|受精|発生,植物がからだの一部から新しい個体をつくる方法を栄養生殖といいます。,active,,,中3|生物の成長と生殖,
bio_growth_023,biology,生物の成長と生殖,無性生殖,1,choice,ジャガイモのいもから新しい個体ができる生殖方法を何というか。,栄養生殖,栄養生殖|分裂|有性生殖|受精,ジャガイモは、いもから新しい個体をつくる栄養生殖を行います。,active,,,中3|生物の成長と生殖,
bio_growth_024,biology,生物の成長と生殖,無性生殖,1,choice,オランダイチゴの茎の一部から新しい個体ができる生殖方法を何というか。,栄養生殖,栄養生殖|分裂|受精|発生,オランダイチゴは、茎の一部から新しい個体をつくる栄養生殖を行います。,active,,,中3|生物の成長と生殖,
bio_growth_025,biology,生物の成長と生殖,有性生殖,1,choice,生殖細胞の受精による生殖を何というか。,有性生殖,有性生殖|無性生殖|栄養生殖|体細胞分裂,生殖細胞の受精による生殖を有性生殖といいます。,active,,,中3|生物の成長と生殖,
bio_growth_026,biology,生物の成長と生殖,無性生殖・有性生殖,2,choice,無性生殖と有性生殖の違いとして正しいものはどれか。,有性生殖では受精を行うが、無性生殖では受精を行わない,有性生殖では受精を行うが、無性生殖では受精を行わない|無性生殖だけが受精を行う|どちらも必ず受精を行う|どちらも受精を行わない,無性生殖は受精を行わず、有性生殖は生殖細胞の受精によって行われます。,active,,,中3|生物の成長と生殖,
bio_growth_027,biology,生物の成長と生殖,生殖細胞,1,choice,動物の雄の生殖細胞を何というか。,精子,精子|卵|受精卵|胚,動物の雄の生殖細胞を精子といいます。,active,,,中3|生物の成長と生殖,
bio_growth_028,biology,生物の成長と生殖,生殖細胞,1,choice,動物の雌の生殖細胞を何というか。,卵,卵|精子|受精卵|胚,動物の雌の生殖細胞を卵といいます。,active,,,中3|生物の成長と生殖,
bio_growth_029,biology,生物の成長と生殖,受精,1,choice,2種類の生殖細胞の核が合体し、1個の細胞になることを何というか。,受精,受精|発生|分裂|成長,2種類の生殖細胞の核が合体することを受精といいます。,active,,,中3|生物の成長と生殖,
bio_growth_030,biology,生物の成長と生殖,受精,1,choice,受精によってできた新しい細胞を何というか。,受精卵,受精卵|胚|精子|卵,受精によってできた新しい細胞を受精卵といいます。,active,,,中3|生物の成長と生殖,
bio_growth_031,biology,生物の成長と生殖,発生,1,choice,受精卵が細胞分裂をくり返し、親のからだのつくりへと変化していく過程を何というか。,発生,発生|受精|生殖|栄養生殖,受精卵が細胞分裂をくり返して親のからだのつくりへと変化する過程を発生といいます。,active,,,中3|生物の成長と生殖,
bio_growth_032,biology,生物の成長と生殖,有性生殖,2,choice,有性生殖で新しい個体ができるまでの流れとして正しいものはどれか。,生殖細胞→受精→受精卵→発生,生殖細胞→受精→受精卵→発生|受精卵→生殖細胞→受精→発生|発生→受精→受精卵→生殖細胞|生殖細胞→発生→受精→受精卵,2種類の生殖細胞が受精して受精卵となり、その受精卵が発生していきます。,active,,,中3|生物の成長と生殖,
bio_growth_033,biology,生物の成長と生殖,動物の発生,1,choice,動物では、受精卵が細胞分裂を始めてから、自分で食物をとることができる個体となる前までを何というか。,胚,胚|受精卵|精子|卵,この期間の個体を胚といいます。,active,,,中3|生物の成長と生殖,
bio_growth_034,biology,生物の成長と生殖,動物の発生,2,choice,ヒキガエルの発生で、受精卵の細胞分裂が進むと、1個1個の細胞の大きさはどうなるか。,小さくなる,小さくなる|大きくなる|変わらない|2倍になる,発生初期では全体の大きさはあまり変わらないため、細胞分裂が進むと1個1個の細胞は小さくなります。,active,,,中3|生物の成長と生殖,
bio_growth_035,biology,生物の成長と生殖,動物の発生,2,choice,ヒキガエルの発生初期では、受精卵が細胞分裂をくり返しても、全体の大きさはどうなるか。,あまり変わらない,あまり変わらない|2倍ずつ大きくなる|半分ずつ小さくなる|必ず0になる,発生初期では、全体の大きさはあまり変わらないまま細胞分裂が進みます。,active,,,中3|生物の成長と生殖,
bio_growth_036,biology,生物の成長と生殖,動物の発生,2,choice,ヒキガエルの発生で、受精卵の細胞分裂が進んだ後に見られる変化はどれか。,頭や尾ができる,頭や尾ができる|染色体がなくなる|受精が再び起こる|種子ができる,細胞分裂が進み、やがて頭や尾などのからだのつくりができます。,active,,,中3|生物の成長と生殖,
bio_growth_037,biology,生物の成長と生殖,被子植物の受精,1,choice,被子植物では、花粉がめしべの柱頭につくことを何というか。,受粉,受粉|受精|発生|分裂,花粉がめしべの柱頭につくことを受粉といいます。,active,,,中3|生物の成長と生殖,
bio_growth_038,biology,生物の成長と生殖,被子植物の受精,1,choice,被子植物では、受粉すると花粉から何がのびるか。,花粉管,花粉管|胚珠|子房|根,受粉すると、花粉から花粉管がのびます。,active,,,中3|生物の成長と生殖,
bio_growth_039,biology,生物の成長と生殖,被子植物の受精,1,choice,被子植物の雄の生殖細胞を何というか。,精細胞,精細胞|卵細胞|精子|卵,被子植物の雄の生殖細胞を精細胞といいます。,active,,,中3|生物の成長と生殖,
bio_growth_040,biology,生物の成長と生殖,被子植物の受精,1,choice,被子植物の雌の生殖細胞を何というか。,卵細胞,卵細胞|精細胞|精子|卵,被子植物の雌の生殖細胞を卵細胞といいます。,active,,,中3|生物の成長と生殖,
bio_growth_041,biology,生物の成長と生殖,被子植物の受精,1,choice,受粉後、精細胞は何の中を移動して胚珠へ向かうか。,花粉管,花粉管|子房|柱頭|胚,精細胞は花粉管の中を移動して胚珠へ向かいます。,active,,,中3|生物の成長と生殖,
bio_growth_042,biology,生物の成長と生殖,被子植物の受精,1,choice,花粉管が胚珠に達すると、精細胞と何が受精するか。,卵細胞,卵細胞|花粉|柱頭|花粉管,花粉管が胚珠に達すると、精細胞と胚珠の中の卵細胞が受精します。,active,,,中3|生物の成長と生殖,
bio_growth_043,biology,生物の成長と生殖,被子植物の受精,1,choice,被子植物で、精細胞と卵細胞の受精が起こる場所はどこか。,胚珠の中,胚珠の中|柱頭の表面|花弁の中|花粉の中,花粉管が胚珠に達し、胚珠の中で精細胞と卵細胞が受精します。,active,,,中3|生物の成長と生殖,
